,Valeur fonciere,Nombre pieces principales,Surface reelle bati
1094692,329000.0,4.0,85.0
1094709,166000.0,1.0,25.0
1094711,166000.0,1.0,23.0
1094722,153000.0,3.0,57.0
1094725,140000.0,2.0,57.0
1094730,208240.0,3.0,64.0
1094735,485700.0,5.0,121.0
1094736,79020.0,1.0,18.0
1094739,148985.0,2.0,46.0
1094742,117000.0,1.0,15.0
1094746,157000.0,2.0,46.0
1094748,220000.0,2.0,46.0
1094750,156000.0,3.0,57.0
1094754,162500.0,1.0,30.0
1094757,180000.0,5.0,93.0
1094762,196800.0,3.0,65.0
1094769,215000.0,4.0,85.0
1094775,83200.0,1.0,22.0
1094778,145000.0,4.0,62.0
1094781,132500.0,2.0,41.0
1094788,125500.0,1.0,28.0
1094790,200000.0,1.0,74.0
1094791,100000.0,2.0,44.0
1094794,273500.0,3.0,65.0
1094809,356500.0,3.0,67.0
1094814,76400.0,1.0,10.0
1094818,108900.0,2.0,43.0
1094828,172500.0,3.0,67.0
1094830,162000.0,3.0,64.0
1094834,284564.0,4.0,85.0
1094840,170000.0,3.0,60.0
1094842,162000.0,3.0,66.0
1094856,210000.0,2.0,80.0
1094859,240400.0,2.0,54.0
1094861,130000.0,3.0,56.0
1094863,350800.0,4.0,79.0
1094865,250000.0,2.0,50.0
1094868,223125.0,1.0,44.0
1094869,313000.0,3.0,63.0
1094872,202000.0,3.0,69.0
1094875,172000.0,3.0,59.0
1094888,106897.0,1.0,28.0
1094890,227070.0,3.0,60.0
1094891,161950.0,2.0,50.0
1094894,161950.0,1.0,29.0
1094899,135000.0,3.0,58.0
1094902,188100.0,2.0,49.0
1094904,80000.0,1.0,22.0
1094907,136000.0,4.0,65.0
1094908,90000.0,2.0,37.0
1094913,134700.0,4.0,63.0
1094915,157000.0,3.0,54.0
1094920,112500.0,3.0,72.0
1094936,247850.0,3.0,67.0
1094939,191000.0,2.0,50.0
1094953,160000.0,3.0,63.0
1094963,142000.0,3.0,66.0
1094964,77440.0,1.0,21.0
1094970,299990.0,3.0,67.0
1094973,250400.0,3.0,56.0
1094981,193920.0,3.0,57.0
1094987,240000.0,2.0,52.0
1095005,123330.0,2.0,48.0
1095007,139500.0,3.0,70.0
1095009,104620.0,2.0,42.0
1095012,287000.0,3.0,64.0
1095021,210000.0,3.0,56.0
1095023,154000.0,4.0,87.0
1095027,141000.0,2.0,35.0
1095039,44000.0,1.0,16.0
1095050,178000.0,2.0,35.0
1095057,92000.0,3.0,55.0
1095063,117445.0,2.0,41.0
1095066,137250.0,3.0,64.0
1095080,159800.0,3.0,53.0
1095090,182000.0,4.0,62.0
1095098,223100.0,3.0,57.0
1095101,74677.0,1.0,17.0
1095103,353750.0,4.0,77.0
1095108,210000.0,5.0,78.0
